code,name,name_short,name_tv,gender,function,country_code,country,country_full,nationality,nationality_full,nationality_code,height,weight,disciplines,events,birth_date
1926054,KUNDANANJI Racheal,KUNDANANJI R,Racheal KUNDANANJI,Female,Athlete,ZAM,Zambia,Zambia,Zambia,Zambia,ZAM,170.0,,['Football'],['Women'],2000-06-03
1928566,NACHULA Racheal,NACHULA R,Racheal NACHULA,Female,Athlete,ZAM,Zambia,Zambia,Zambia,Zambia,ZAM,160.0,,['Football'],['Women'],1986-01-14
1929998,ALMADA Thiago,ALMADA T,Thiago ALMADA,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,171.0,,['Football'],['Men'],2001-04-26
1930118,PEYRAUD-MAGNIN Pauline,PEYRAUD-MAGNIN P,Pauline PEYRAUD-MAGNIN,Female,Athlete,FRA,France,France,France,France,FRA,175.0,,['Football'],['Women'],1992-03-17
1930119,PICAUD Constance,PICAUD C,Constance PICAUD,Female,Athlete,FRA,France,France,France,France,FRA,180.0,,['Football'],['Women'],1998-07-05
1930121,CASCARINO Estelle,CASCARINO E,Estelle CASCARINO,Female,Athlete,FRA,France,France,France,France,FRA,165.0,,['Football'],['Women'],1997-02-05
1930122,de ALMEIDA Elisa,de ALMEIDA E,Elisa de ALMEIDA,Female,Athlete,FRA,France,France,France,France,FRA,171.0,,['Football'],['Women'],1998-01-11
1930123,KARCHAOUI Sakina,KARCHAOUI S,Sakina KARCHAOUI,Female,Athlete,FRA,France,France,France,France,FRA,160.0,,['Football'],['Women'],1996-01-26
1930124,LAKRAR Maelle,LAKRAR M,Maelle LAKRAR,Female,Athlete,FRA,France,France,France,France,FRA,171.0,,['Football'],['Women'],2000-05-27
1930126,MBOCK BATHY Griedge,MBOCK BATHY G,Griedge MBOCK BATHY,Female,Athlete,FRA,France,France,France,France,FRA,172.0,,['Football'],['Women'],1995-02-26
1930129,PERISSET Eve,PERISSET E,Eve PERISSET,Female,Athlete,FRA,France,France,France,France,FRA,160.0,,['Football'],['Women'],1994-12-24
1930130,RENARD Wendie,RENARD W,Wendie RENARD,Female,Athlete,FRA,France,France,France,France,FRA,187.0,,['Football'],['Women'],1990-07-20
1930133,BACHA Selma,BACHA S,Selma BACHA,Female,Athlete,FRA,France,France,France,France,FRA,161.0,,['Football'],['Women'],2000-11-09
1930136,DALI Kenza,DALI K,Kenza DALI,Female,Athlete,FRA,France,France,France,France,FRA,165.0,,['Football'],['Women'],1991-07-31
1930140,GEYORO Grace,GEYORO G,Grace GEYORO,Female,Athlete,FRA,France,France,France,France,FRA,168.0,,['Football'],['Women'],1997-07-02
1930141,HENRY Amandine,HENRY A,Amandine HENRY,Female,Athlete,FRA,France,France,France,France,FRA,171.0,,['Football'],['Women'],1989-09-28
1930147,TOLETTI Sandie,TOLETTI S,Sandie TOLETTI,Female,Athlete,FRA,France,France,France,France,FRA,169.0,,['Football'],['Women'],1995-07-13
1930151,BALTIMORE Sandy,BALTIMORE S,Sandy BALTIMORE,Female,Athlete,FRA,France,France,France,France,FRA,156.0,,['Football'],['Women'],2000-02-19
1930152,BECHO Vicki,BECHO V,Vicki BECHO,Female,Athlete,FRA,France,France,France,France,FRA,168.0,,['Football'],['Women'],2003-10-03
1930155,CASCARINO Delphine,CASCARINO D,Delphine CASCARINO,Female,Athlete,FRA,France,France,France,France,FRA,165.0,,['Football'],['Women'],1997-02-05
1930156,DIANI Kadidiatou,DIANI K,Kadidiatou DIANI,Female,Athlete,FRA,France,France,France,France,FRA,169.0,,['Football'],['Women'],1995-04-01
1930160,KATOTO Marie-Antoinette,KATOTO MA,Marie-Antoinette KATOTO,Female,Athlete,FRA,France,France,France,France,FRA,177.0,,['Football'],['Women'],1998-11-01
1930161,le SOMMER Eugenie,le SOMMER E,Eugenie le SOMMER,Female,Athlete,FRA,France,France,France,France,FRA,161.0,,['Football'],['Women'],1989-05-18
1930235,ALVAREZ Julian,ALVAREZ J,Julian ALVAREZ,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,170.0,,['Football'],['Men'],2000-01-31
1930237,AMIONE Bruno,AMIONE B,Bruno AMIONE,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,189.0,,['Football'],['Men'],2002-01-03
1930249,BELTRAN Lucas,BELTRAN L,Lucas BELTRAN,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,175.0,,['Football'],['Men'],2001-03-29
1930292,BREY Leandro,BREY L,Leandro BREY,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,191.0,,['Football'],['Men'],2002-09-21
1930372,di CESARE Marco,di CESARE M,Marco di CESARE,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,186.0,,['Football'],['Men'],2002-01-30
1930375,ECHEVERRI Claudio,ECHEVERRI C,Claudio ECHEVERRI,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,171.0,,['Football'],['Men'],2006-01-02
1930384,FERNANDEZ Ezequiel,FERNANDEZ E,Ezequiel FERNANDEZ,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,178.0,,['Football'],['Men'],2002-07-25
1930386,GARCIA Joaquin,GARCIA J,Joaquin GARCIA,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,181.0,,['Football'],['Men'],2001-08-20
1930400,GONDOU Luciano,GONDOU L,Luciano GONDOU,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,189.0,,['Football'],['Men'],2001-06-22
1930405,HEZZE Santiago,HEZZE S,Santiago HEZZE,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,182.0,,['Football'],['Men'],2001-10-22
1930417,LUJAN Gonzalo,LUJAN G,Gonzalo LUJAN,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,184.0,,['Football'],['Men'],2001-04-27
1930426,MEDINA Cristian,MEDINA C,Cristian MEDINA,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,176.0,,['Football'],['Men'],2002-06-01
1930436,OTAMENDI Nicolas,OTAMENDI N,Nicolas OTAMENDI,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,183.0,,['Football'],['Men'],1988-02-12
1930444,NUNEZ Alan,NUNEZ A,Alan NUNEZ,Male,Athlete,PAR,Paraguay,Paraguay,Paraguay,Paraguay,PAR,178.0,,['Football'],['Men'],2004-10-01
1930451,RULLI Geronimo,RULLI G,Geronimo RULLI,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,189.0,,['Football'],['Men'],1992-05-20
1930453,CANTERO Alexis,CANTERO A,Alexis CANTERO,Male,Athlete,PAR,Paraguay,Paraguay,Paraguay,Paraguay,PAR,170.0,,['Football'],['Men'],2003-02-05
1930459,SOLER Julio,SOLER J,Julio SOLER,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,175.0,,['Football'],['Men'],2005-02-16
1930532,ZENON Kevin,ZENON K,Kevin ZENON,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,177.0,,['Football'],['Men'],2001-07-30
1932960,GONZALEZ Enso,GONZALEZ E,Enso GONZALEZ,Male,Athlete,PAR,Paraguay,Paraguay,Paraguay,Paraguay,PAR,169.0,,['Football'],['Men'],2005-01-20
1933133,ROMAN Fernando,ROMAN F,Fernando ROMAN,Male,Athlete,PAR,Paraguay,Paraguay,Paraguay,Paraguay,PAR,189.0,,['Football'],['Men'],2001-02-23
1933244,FLORES Gilberto,FLORES G,Gilberto FLORES,Male,Athlete,PAR,Paraguay,Paraguay,Paraguay,Paraguay,PAR,178.0,,['Football'],['Men'],2003-04-01
1933359,PARZAJUK Kevin,PARZAJUK K,Kevin PARZAJUK,Male,Athlete,PAR,Paraguay,Paraguay,Paraguay,Paraguay,PAR,190.0,,['Football'],['Men'],2002-08-09
1933379,RIVAS Daniel,RIVAS D,Daniel RIVAS,Male,Athlete,PAR,Paraguay,Paraguay,Paraguay,Paraguay,PAR,177.0,,['Football'],['Men'],2001-12-06
1933793,CARDOZO LUCENA,CARDOZO LUCENA,CARDOZO LUCENA,Male,Athlete,PAR,Paraguay,Paraguay,Paraguay,Paraguay,PAR,180.0,,['Football'],['Men'],1994-10-19
1934027,FERNANDEZ Marcelo,FERNANDEZ M,Marcelo FERNANDEZ,Male,Athlete,PAR,Paraguay,Paraguay,Paraguay,Paraguay,PAR,178.0,,['Football'],['Men'],2001-10-25
1934049,PEREZ Marcelo,PEREZ M,Marcelo PEREZ,Male,Athlete,PAR,Paraguay,Paraguay,Paraguay,Paraguay,PAR,178.0,,['Football'],['Men'],2001-03-23
1935068,FERNANDEZ Gatito,FERNANDEZ G,Gatito FERNANDEZ,Male,Athlete,PAR,Paraguay,Paraguay,Paraguay,Paraguay,PAR,195.0,,['Football'],['Men'],1988-03-29
1935072,FRUTOS Rodrigo,FRUTOS R,Rodrigo FRUTOS,Male,Athlete,PAR,Paraguay,Paraguay,Paraguay,Paraguay,PAR,192.0,,['Football'],['Men'],2003-01-06
1935105,de JESUS Ronaldo,de JESUS R,Ronaldo de JESUS,Male,Athlete,PAR,Paraguay,Paraguay,Paraguay,Paraguay,PAR,190.0,,['Football'],['Men'],2001-04-21
